bin_center,bin_content,x_lower_bound,x_upper_bound,y_lower_bound,y_upper_bound
352.0,3.509999990463257,349.0,355.0,3.3199999928474426,3.699999988079071
299.0,3.430000066757202,292.0,306.0,3.23000006377697,3.6300000697374344
234.0,3.4000000953674316,226.0,242.0,3.1800000965595245,3.6200000941753387
166.0,3.309999942779541,157.0,175.0,3.059999942779541,3.559999942779541
115.0,3.200000047683716,106.0,124.0,2.900000035762787,3.5000000596046448
76.0,3.0999999046325684,68.0,84.0,2.699999898672104,3.499999910593033
47.0,3.0,39.0,55.0,2.5,3.5
