bin_center,bin_content,bin_error,lower_bound,upper_bound
-0.918255627155304,663.1226806640625,0.37999741566634015,662.7426832483961,663.5026780797289
-0.5520437955856323,655.8508911132812,0.4060158318665561,655.4448752814147,656.2569069451478
-0.1858524652197957,660.0818481445312,0.4474688443475447,659.6343793001837,660.5293169888788
0.1805318845435977,657.452880859375,0.4488217403041153,657.0040591190709,657.9017025996791
0.5473229512572289,648.4389038085938,0.43241975714511205,648.0064840514486,648.8713235657389
0.9144599735736847,637.1200561523438,0.5193036396588024,636.600752512685,637.6393597920026
-0.918255627155304,549.9011840820312,0.34834802884584,549.5528360531854,550.2495321108771
-0.5520437955856323,542.031982421875,0.36900095122600723,541.662981470649,542.400983373101
-0.1858524652197957,545.5743408203125,0.40307137188460757,545.1712694484279,545.9774121921971
0.1805318845435977,543.1746215820312,0.40350118405860474,542.7711203979726,543.5781227660899
0.5473229512572289,536.9832153320312,0.36841458122435194,536.6148007508069,537.3516299132556
0.9144599735736847,528.9144897460938,0.33625694271199846,528.5782328033818,529.2507466888057
-0.918255627155304,412.7244873046875,0.23181657766972644,412.49267072701775,412.95630388235725
-0.5520437955856323,407.3253173828125,0.24280076725322072,407.08251661555926,407.56811815006574
-0.1858524652197957,409.67431640625,0.25928031183123046,409.4150360944188,409.9335967180812
0.1805318845435977,408.169189453125,0.25951969890292914,407.9096697542221,408.4287091520279
0.5473229512572289,403.45062255859375,0.2419395232037504,403.20868303539,403.6925620817975
0.9144599735736847,398.6965026855469,0.22435369921937326,398.4721489863275,398.92085638476624
-0.918255627155304,276.4588928222656,0.18115972365762462,276.277733098608,276.64005254592325
-0.5520437955856323,272.8227233886719,0.19022392217204562,272.63249946649984,273.0129473108439
-0.1858524652197957,274.7242126464844,0.20191511338038257,274.522297533104,274.92612775986476
0.1805318845435977,273.44189453125,0.20163950279165438,273.24025502845836,273.64353403404164
0.5473229512572289,270.5216369628906,0.19745596358589956,270.3241809993047,270.71909292647655
0.9144599735736847,268.25738525390625,0.17621112644590836,268.0811741274603,268.4335963803522
-0.918255627155304,179.266357421875,0.14016606279422494,179.12619135908076,179.40652348466924
-0.5520437955856323,177.47962951660156,0.1479842264029125,177.33164529019865,177.62761374300447
-0.1858524652197957,178.73350524902344,0.15938612862028456,178.57411912040314,178.89289137764374
0.1805318845435977,178.08126831054688,0.1561255441897466,177.92514276635714,178.2373938547366
0.5473229512572289,176.08534240722656,0.14758049343037896,175.93776191379618,176.23292290065694
0.9144599735736847,174.49920654296875,0.1366343929030115,174.36257215006574,174.63584093587176
-0.918255627155304,109.29342651367188,0.10481475760665868,109.18861175606521,109.39824127127854
-0.5520437955856323,108.61070251464844,0.11190402563057966,108.49879848901786,108.72260654027902
-0.1858524652197957,109.74317932128906,0.11816990429370118,109.62500941699537,109.86134922558276
0.1805318845435977,109.13577270507812,0.11791897606853892,109.01785372900959,109.25369168114666
0.5473229512572289,108.12828063964844,0.11212052219725313,108.01616011745118,108.2404011618457
0.9144599735736847,107.1472396850586,0.10298964235999361,107.04425004269861,107.25022932741858
-0.918255627155304,61.33587646484375,0.07549827509134456,61.26037818975241,61.41137473993509
-0.5520437955856323,61.205657958984375,0.08170772638989739,61.123950232594474,61.287365685374276
-0.1858524652197957,62.026100158691406,0.08690460392758283,61.93919555476382,62.11300476261899
0.1805318845435977,61.76417922973633,0.08743158659817943,61.67674764313815,61.85161081633451
0.5473229512572289,61.16453170776367,0.19918419714774455,60.96534751061593,61.363715904911416
0.9144599735736847,60.51581573486328,0.07500838291328729,60.44080735194999,60.59082411777657
