x,y,y_error_low,y_error_high,lower_bound,upper_bound
350.8999938964844,3.4100000858306885,0.20000000298023224,0.20000000298023224,3.2100000828504562,3.6100000888109207
297.0,3.299999952316284,0.20999999344348907,0.20999999344348907,3.089999958872795,3.5099999457597733
251.0,3.2100000381469727,0.2199999988079071,0.2199999988079071,2.9900000393390656,3.4300000369548798
211.0,3.1500000953674316,0.23000000417232513,0.23000000417232513,2.9200000911951065,3.3800000995397568
176.3000030517578,3.0999999046325684,0.23999999463558197,0.23999999463558197,2.8599999099969864,3.3399998992681503
146.8000030517578,3.0399999618530273,0.27000001072883606,0.27000001072883606,2.7699999511241913,3.3099999725818634
120.9000015258789,2.990000009536743,0.28999999165534973,0.28999999165534973,2.7000000178813934,3.280000001192093
98.30000305175781,2.940000057220459,0.33000001311302185,0.33000001311302185,2.610000044107437,3.270000070333481
78.69999694824219,2.890000104904175,0.36000001430511475,0.36000001430511475,2.53000009059906,3.2500001192092896
61.900001525878906,2.8499999046325684,0.3799999952316284,0.3799999952316284,2.46999990940094,3.2299998998641968
47.599998474121094,2.819999933242798,0.44999998807907104,0.44999998807907104,2.369999945163727,3.269999921321869
35.599998474121094,2.809999942779541,0.550000011920929,0.550000011920929,2.259999930858612,3.35999995470047
